branch,stem,status,ct_out,mask_out,ct_shape,mask_shape,ct_dtype,mask_dtype,error
Segmented Scans,02fe96388e,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/02fe96388e.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/02fe96388e.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,030,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/030.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/030.npy,"(31, 512, 512)","(31, 512, 512)",float32,uint8,
Segmented Scans,030a18397b,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/030a18397b.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/030a18397b.npy,"(56, 512, 512)","(56, 512, 512)",float32,uint8,
Segmented Scans,031,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/031.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/031.npy,"(29, 512, 512)","(29, 512, 512)",float32,uint8,
Segmented Scans,032,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/032.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/032.npy,"(29, 512, 512)","(29, 512, 512)",float32,uint8,
Segmented Scans,033,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/033.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/033.npy,"(29, 512, 512)","(29, 512, 512)",float32,uint8,
Segmented Scans,034,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/034.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/034.npy,"(36, 512, 512)","(36, 512, 512)",float32,uint8,
Segmented Scans,035,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/035.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/035.npy,"(29, 512, 512)","(29, 512, 512)",float32,uint8,
Segmented Scans,0354dc2907,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/0354dc2907.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/0354dc2907.npy,"(34, 512, 512)","(34, 512, 512)",float32,uint8,
Segmented Scans,036,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/036.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/036.npy,"(25, 512, 512)","(25, 512, 512)",float32,uint8,
Segmented Scans,037,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/037.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/037.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,038,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/038.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/038.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,0386e10db3,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/0386e10db3.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/0386e10db3.npy,"(30, 512, 512)","(30, 512, 512)",float32,uint8,
Segmented Scans,03899fa456,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/03899fa456.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/03899fa456.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,039,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/039.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/039.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,03e92a47d9,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/03e92a47d9.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/03e92a47d9.npy,"(36, 512, 512)","(36, 512, 512)",float32,uint8,
Segmented Scans,040,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/040.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/040.npy,"(29, 512, 512)","(29, 512, 512)",float32,uint8,
Segmented Scans,041,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/041.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/041.npy,"(30, 512, 512)","(30, 512, 512)",float32,uint8,
Segmented Scans,042,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/042.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/042.npy,"(30, 512, 512)","(30, 512, 512)",float32,uint8,
Segmented Scans,043,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/043.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/043.npy,"(33, 512, 512)","(33, 512, 512)",float32,uint8,
Segmented Scans,044,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/044.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/044.npy,"(29, 512, 512)","(29, 512, 512)",float32,uint8,
Segmented Scans,045,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/045.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/045.npy,"(30, 512, 512)","(30, 512, 512)",float32,uint8,
Segmented Scans,046,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/046.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/046.npy,"(31, 512, 512)","(31, 512, 512)",float32,uint8,
Segmented Scans,047,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/047.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/047.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,048,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/048.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/048.npy,"(24, 512, 512)","(24, 512, 512)",float32,uint8,
Segmented Scans,049,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/049.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/049.npy,"(33, 512, 512)","(33, 512, 512)",float32,uint8,
Segmented Scans,050,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/050.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/050.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,051,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/051.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/051.npy,"(26, 512, 512)","(26, 512, 512)",float32,uint8,
Segmented Scans,052,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/052.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/052.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,053,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/053.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/053.npy,"(35, 512, 512)","(35, 512, 512)",float32,uint8,
Segmented Scans,054,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/054.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/054.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,055,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/055.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/055.npy,"(33, 512, 512)","(33, 512, 512)",float32,uint8,
Segmented Scans,056,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/056.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/056.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,057,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/057.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/057.npy,"(34, 512, 512)","(34, 512, 512)",float32,uint8,
Segmented Scans,058,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/058.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/058.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,0580e47573,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/0580e47573.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/0580e47573.npy,"(29, 512, 512)","(29, 512, 512)",float32,uint8,
Segmented Scans,059,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/059.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/059.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,059fb16067,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/059fb16067.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/059fb16067.npy,"(37, 512, 512)","(37, 512, 512)",float32,uint8,
Segmented Scans,05acf5343f,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/05acf5343f.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/05acf5343f.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,05adc8cbd1,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/05adc8cbd1.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/05adc8cbd1.npy,"(38, 512, 512)","(38, 512, 512)",float32,uint8,
Segmented Scans,060,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/060.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/060.npy,"(27, 512, 512)","(27, 512, 512)",float32,uint8,
Segmented Scans,060c8fdee7,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/060c8fdee7.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/060c8fdee7.npy,"(34, 512, 512)","(34, 512, 512)",float32,uint8,
Segmented Scans,061,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/061.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/061.npy,"(27, 512, 512)","(27, 512, 512)",float32,uint8,
Segmented Scans,062,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/062.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/062.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,063,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/063.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/063.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,064,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/064.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/064.npy,"(29, 512, 512)","(29, 512, 512)",float32,uint8,
Segmented Scans,065,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/065.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/065.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,066,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/066.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/066.npy,"(34, 512, 512)","(34, 512, 512)",float32,uint8,
Segmented Scans,067,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/067.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/067.npy,"(31, 512, 512)","(31, 512, 512)",float32,uint8,
Segmented Scans,067b82e422,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/067b82e422.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/067b82e422.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,068,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/068.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/068.npy,"(31, 512, 512)","(31, 512, 512)",float32,uint8,
Segmented Scans,069,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/069.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/069.npy,"(29, 512, 512)","(29, 512, 512)",float32,uint8,
Segmented Scans,06df3a7578,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/06df3a7578.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/06df3a7578.npy,"(32, 512, 512)","(32, 512, 512)",float32,uint8,
Segmented Scans,070,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/070.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/070.npy,"(28, 512, 512)","(28, 512, 512)",float32,uint8,
Segmented Scans,071,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/071.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/071.npy,"(30, 512, 512)","(30, 512, 512)",float32,uint8,
Segmented Scans,072,ok,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/ct_scans/072.npy,/content/work_ct_seg_1500_raw/CT-Seg-1500-Raw-NPY/Segmented Scans/masks/072.npy,"(29, 512, 512)","(29, 512, 512)",float32,uint8,
