case_id,branch,source_dataset,ct_shape,mask_shape,ct_sx,ct_sy,ct_sz,hu_min,hu_max,hu_p01,hu_p05,hu_p50,hu_p95,hu_p99,looks_like_HU,needs_offset_fix,mask_empty,ct_reader_backend,mask_reader_backend,recommendation,status,error
017ad7ed20,normal,RSNA-Normal,"(35, 512, 512)","(35, 512, 512)",0.48828125,0.48828125,5.0,-1024.0,1710.0,-1009.0,-1006.0,-988.0,340.0,953.0,True,False,True,sitk,sitk,keep_original,ok,
017e5bb41e,normal,RSNA-Normal,"(32, 512, 512)","(32, 512, 512)",0.44140625,0.44140625,5.0,-1024.0,2976.0,-1008.0,-1005.0,-936.0,427.0,932.0,True,False,True,sitk,sitk,keep_original,ok,
018e61f2ae,normal,RSNA-Normal,"(40, 512, 512)","(40, 512, 512)",0.4882810115814209,0.4882810115814209,3.9743590354919434,-3024.0,3071.0,-3024.0,-3024.0,-991.0,448.0,1368.0,True,False,True,sitk,sitk,resample_to_5mm,ok,
01ac01af23,normal,RSNA-Normal,"(32, 512, 512)","(32, 512, 512)",0.4882810115814209,0.4882810115814209,5.201274394989014,-3024.0,2051.0,-3024.0,-3024.0,-987.0,527.8499999999767,1423.0,True,False,True,sitk,sitk,keep_original,ok,
01b8469252,normal,RSNA-Normal,"(40, 512, 512)","(40, 512, 512)",0.4882810115814209,0.4882810115814209,4.048743724822998,-3024.0,1978.0,-3024.0,-3024.0,-989.0,346.0,1112.0,True,False,True,sitk,sitk,keep_original,ok,
01bddfd70f,normal,RSNA-Normal,"(39, 512, 512)","(39, 512, 512)",0.46484375,0.46484375,5.0,-1023.0,2104.0,-1010.0,-1006.0,-967.0,362.0,876.0,True,False,True,sitk,sitk,keep_original,ok,
01c1788df8,normal,RSNA-Normal,"(31, 512, 512)","(31, 512, 512)",0.453125,0.453125,5.0,-1024.0,1543.0,-1011.0,-1006.0,-949.0,473.0,1105.0,True,False,True,sitk,sitk,keep_original,ok,
01ca310c19,normal,RSNA-Normal,"(34, 512, 512)","(34, 512, 512)",0.455078125,0.455078125,4.999999523162842,-1024.0,1529.0,-1014.0,-1010.0,-962.0,464.0,1036.0,True,False,True,sitk,sitk,keep_original,ok,
01ce997fa7,normal,RSNA-Normal,"(36, 512, 512)","(36, 512, 512)",0.48828125,0.48828125,5.0,-1024.0,1576.0,-1011.0,-1006.0,-980.0,365.0,1082.0,True,False,True,sitk,sitk,keep_original,ok,
01cf9a5127,normal,RSNA-Normal,"(32, 512, 512)","(32, 512, 512)",0.4882810115814209,0.4882810115814209,5.015045166015625,-3024.0,2138.0,-3024.0,-3024.0,-996.0,271.0,1299.0,True,False,True,sitk,sitk,keep_original,ok,
01e9a7dc1b,normal,RSNA-Normal,"(28, 512, 512)","(28, 512, 512)",0.4882810115814209,0.4882810115814209,5.0,-3024.0,2032.0,-3024.0,-3024.0,-990.0,373.0,1282.570000000007,True,False,True,sitk,sitk,keep_original,ok,
021c6184c6,normal,RSNA-Normal,"(35, 512, 512)","(35, 512, 512)",0.48828125,0.48828125,5.0,-1024.0,2532.0,-1010.0,-1005.0,-969.0,365.0,1072.570000000007,True,False,True,sitk,sitk,keep_original,ok,
021da20807,normal,RSNA-Normal,"(37, 512, 512)","(37, 512, 512)",0.48828125,0.48828125,5.0,-1024.0,2976.0,-1011.0,-1006.0,-984.0,338.0,915.0,True,False,True,sitk,sitk,keep_original,ok,
024b71a40e,normal,RSNA-Normal,"(32, 512, 512)","(32, 512, 512)",0.48828125,0.48828125,5.050875663757324,-1024.0,1914.0,-1007.0,-1004.0,-950.0,490.0,1126.0,True,False,True,sitk,sitk,keep_original,ok,
027abcbc7b,normal,RSNA-Normal,"(33, 512, 512)","(33, 512, 512)",0.48828125,0.48828125,5.0,-1024.0,2371.0,-1011.0,-1006.0,-997.0,388.0,1153.0,True,False,True,sitk,sitk,keep_original,ok,
027e12b63c,normal,RSNA-Normal,"(40, 512, 512)","(40, 512, 512)",0.48828125,0.48828125,5.0,-1021.0,2486.0,-1011.0,-1006.0,-995.0,328.0,876.0,True,False,True,sitk,sitk,keep_original,ok,
02b0b95e07,normal,RSNA-Normal,"(29, 512, 512)","(29, 512, 512)",0.447265625,0.447265625,5.0,-1024.0,1681.0,-1010.0,-1005.0,-943.0,514.0,1150.0,True,False,True,sitk,sitk,keep_original,ok,
02b616db2f,normal,RSNA-Normal,"(32, 512, 512)","(32, 512, 512)",0.4882810115814209,0.4882810115814209,5.102493762969971,-3024.0,1943.0,-3024.0,-3024.0,-987.0,608.0,1382.0,True,False,True,sitk,sitk,keep_original,ok,
02cbb6b255,normal,RSNA-Normal,"(34, 512, 512)","(34, 512, 512)",0.43359375,0.43359375,5.0,-1023.0,1525.0,-1010.0,-1005.0,-967.0,530.0,914.0,True,False,True,sitk,sitk,keep_original,ok,
02f53f2f4e,normal,RSNA-Normal,"(34, 512, 512)","(34, 512, 512)",0.48828125,0.48828125,5.0,-1024.0,1776.0,-1009.0,-1005.0,-967.0,369.0,923.0,True,False,True,sitk,sitk,keep_original,ok,
030d276061,normal,RSNA-Normal,"(36, 512, 512)","(36, 512, 512)",0.48828125,0.48828125,5.0,-1024.0,2517.0,-1011.0,-1006.0,-969.0,343.0,842.0,True,False,True,sitk,sitk,keep_original,ok,
030da47456,normal,RSNA-Normal,"(32, 512, 512)","(32, 512, 512)",0.41015625,0.41015625,5.0,-1024.0,1707.0,-1009.0,-1004.0,-751.0,515.0,930.0,True,False,True,sitk,sitk,keep_original,ok,
030ed13676,normal,RSNA-Normal,"(34, 512, 512)","(34, 512, 512)",0.48828125,0.48828125,5.0,-1024.0,2976.0,-1011.0,-1005.0,-964.0,369.0,1033.570000000007,True,False,True,sitk,sitk,keep_original,ok,
031ff3ef0c,normal,RSNA-Normal,"(33, 512, 512)","(33, 512, 512)",0.400390625,0.400390625,5.0,-1024.0,1714.0,-1009.0,-1005.0,-881.0,837.0,1404.0,True,False,True,sitk,sitk,keep_original,ok,
032ebd5f51,normal,RSNA-Normal,"(32, 512, 512)","(32, 512, 512)",0.4882810115814209,0.4882810115814209,5.392516136169434,-3024.0,1937.0,-3024.0,-3024.0,-983.0,400.0,1071.0,True,False,True,sitk,sitk,keep_original,ok,
035cb6ad21,normal,RSNA-Normal,"(34, 512, 512)","(34, 512, 512)",0.48828125,0.48828125,5.0,-1023.0,2076.0,-1009.0,-1005.0,-970.0,349.0,899.0,True,False,True,sitk,sitk,keep_original,ok,
03af2145f9,normal,RSNA-Normal,"(33, 512, 512)","(33, 512, 512)",0.4375,0.4375,5.0,-1024.0,1582.0,-1011.0,-1006.0,-906.0,441.0,854.0,True,False,True,sitk,sitk,keep_original,ok,
03b318a64e,normal,RSNA-Normal,"(40, 512, 512)","(40, 512, 512)",0.4882810115814209,0.4882810115814209,3.764641046524048,-3024.0,1899.0,-3024.0,-3024.0,-979.0,753.0,1387.570000000007,True,False,True,sitk,sitk,resample_to_5mm,ok,
03bf3046d0,normal,RSNA-Normal,"(39, 512, 512)","(39, 512, 512)",0.48828125,0.48828125,5.0,-1024.0,2851.0,-1016.0,-1012.0,-984.0,581.0,1083.0,True,False,True,sitk,sitk,keep_original,ok,
03e076551f,normal,RSNA-Normal,"(30, 512, 512)","(30, 512, 512)",0.3828125,0.3828125,5.0,-1023.0,1598.0,-1008.0,-1004.0,-838.0,565.0,1067.0,True,False,True,sitk,sitk,keep_original,ok,
03f0a04341,normal,RSNA-Normal,"(40, 512, 512)","(40, 512, 512)",0.4882810115814209,0.4882810115814209,4.343204975128174,-3024.0,1965.0,-3024.0,-3024.0,-971.0,525.0,1396.0,True,False,True,sitk,sitk,keep_original,ok,
03f2a4f1b4,normal,RSNA-Normal,"(30, 512, 512)","(30, 512, 512)",0.396484375,0.396484375,5.0,-1020.0,1614.0,-1008.0,-1005.0,-837.0,465.0,1025.0,True,False,True,sitk,sitk,keep_original,ok,
041e232fe1,normal,RSNA-Normal,"(35, 512, 512)","(35, 512, 512)",0.48828125,0.48828125,5.0,-1024.0,2677.0,-1010.0,-1006.0,-967.0,415.0,947.570000000007,True,False,True,sitk,sitk,keep_original,ok,
04b065a338,normal,RSNA-Normal,"(33, 512, 512)","(33, 512, 512)",0.44140625,0.44140625,5.0,-1018.0,1643.0,-1011.0,-1008.0,-948.0,413.0,878.0,True,False,True,sitk,sitk,keep_original,ok,
04b1318e8e,normal,RSNA-Normal,"(28, 512, 512)","(28, 512, 512)",0.4882810115814209,0.4882810115814209,5.176264762878418,-3024.0,3071.0,-3024.0,-3024.0,-990.0,646.0,1489.0,True,False,True,sitk,sitk,keep_original,ok,
04b60a680a,normal,RSNA-Normal,"(32, 512, 512)","(32, 512, 512)",0.4882810115814209,0.4882810115814209,5.048788070678711,-3024.0,1824.0,-3024.0,-3024.0,-974.0,494.0,1376.0,True,False,True,sitk,sitk,keep_original,ok,
04b809de14,normal,RSNA-Normal,"(33, 512, 512)","(33, 512, 512)",0.48828125,0.48828125,5.0,-1024.0,1678.0,-1010.0,-1005.0,-956.0,426.0,994.0,True,False,True,sitk,sitk,keep_original,ok,
04bfbf4c7c,normal,RSNA-Normal,"(32, 512, 512)","(32, 512, 512)",0.4882810115814209,0.4882810115814209,5.093734264373779,-3024.0,2051.0,-3024.0,-3024.0,-977.0,274.0,1590.0,True,False,True,sitk,sitk,keep_original,ok,
04c0d078c0,normal,RSNA-Normal,"(33, 512, 512)","(33, 512, 512)",0.431640625,0.431640625,5.0,-1022.0,1571.0,-1008.0,-1005.0,-878.0,373.0,857.0,True,False,True,sitk,sitk,keep_original,ok,
04cbfdd8b4,normal,RSNA-Normal,"(36, 512, 512)","(36, 512, 512)",0.4882810115814209,0.4882810115814209,3.860599994659424,-3024.0,1969.0,-3024.0,-3024.0,-996.0,443.8499999999767,1220.0,True,False,True,sitk,sitk,resample_to_5mm,ok,
04e58cf3cc,normal,RSNA-Normal,"(32, 512, 512)","(32, 512, 512)",0.435546875,0.435546875,5.0,-1022.0,1537.0,-1009.0,-1005.0,-932.0,359.0,856.0,True,False,True,sitk,sitk,keep_original,ok,
04f18b8896,normal,RSNA-Normal,"(36, 512, 512)","(36, 512, 512)",0.513671875,0.513671875,5.0,-1024.0,2239.0,-1010.0,-1005.0,-986.0,482.0,1268.0,True,False,True,sitk,sitk,keep_original,ok,
04f31d05f7,normal,RSNA-Normal,"(31, 512, 512)","(31, 512, 512)",0.416015625,0.416015625,5.0,-1024.0,1515.0,-1011.0,-1005.0,-964.0,548.8499999999767,1066.570000000007,True,False,True,sitk,sitk,keep_original,ok,
04fe73adc3,normal,RSNA-Normal,"(29, 512, 512)","(29, 512, 512)",0.41796875,0.41796875,5.0,-1024.0,1684.0,-1010.0,-1005.0,-879.0,345.0,660.0,True,False,True,sitk,sitk,keep_original,ok,
05ae9bc541,normal,RSNA-Normal,"(34, 512, 512)","(34, 512, 512)",0.45703125,0.45703125,5.0,-1023.0,2489.0,-1013.0,-1011.0,-996.0,452.0,1041.0,True,False,True,sitk,sitk,keep_original,ok,
05c57f9aef,normal,RSNA-Normal,"(28, 512, 512)","(28, 512, 512)",0.4882810115814209,0.4882810115814209,5.17626428604126,-3024.0,2086.0,-3024.0,-3024.0,-980.0,524.0,1509.0,True,False,True,sitk,sitk,keep_original,ok,
05ca3dab72,normal,RSNA-Normal,"(33, 512, 512)","(33, 512, 512)",0.443359375,0.443359375,5.0,-1019.0,2532.0,-1008.0,-1004.0,-968.0,543.0,977.0,True,False,True,sitk,sitk,keep_original,ok,
05cb6e5b02,normal,RSNA-Normal,"(33, 512, 512)","(33, 512, 512)",0.48828125,0.48828125,5.0,-1019.0,1580.0,-1009.0,-1005.0,-905.0,427.0,959.0,True,False,True,sitk,sitk,keep_original,ok,
05dc85aab6,normal,RSNA-Normal,"(40, 512, 512)","(40, 512, 512)",0.4882810115814209,0.4882810115814209,4.343204975128174,-3024.0,3071.0,-3024.0,-3024.0,-984.0,403.0,1171.570000000007,True,False,True,sitk,sitk,keep_original,ok,
05e7626014,normal,RSNA-Normal,"(40, 512, 512)","(40, 512, 512)",0.4882810115814209,0.4882810115814209,4.043846130371094,-3024.0,2011.0,-3024.0,-3024.0,-989.0,425.0,1411.0,True,False,True,sitk,sitk,keep_original,ok,
05f439eefa,normal,RSNA-Normal,"(36, 512, 512)","(36, 512, 512)",0.4882810115814209,0.4882810115814209,5.392514705657959,-3024.0,2136.0,-3024.0,-3024.0,-1000.0,535.0,1369.0,True,False,True,sitk,sitk,keep_original,ok,
05f50c9238,normal,RSNA-Normal,"(28, 512, 512)","(28, 512, 512)",0.4882810115814209,0.4882810115814209,5.0,-3024.0,2061.0,-3024.0,-3024.0,-1006.0,233.0,1196.0,True,False,True,sitk,sitk,keep_original,ok,
05ff39b6e8,normal,RSNA-Normal,"(36, 512, 512)","(36, 512, 512)",0.4882810115814209,0.4882810115814209,3.9007182121276855,-3024.0,2034.0,-3024.0,-3024.0,-979.0,446.0,1382.0,True,False,True,sitk,sitk,resample_to_5mm,ok,
06cfe84f2c,normal,RSNA-Normal,"(33, 512, 512)","(33, 512, 512)",0.39453125,0.39453125,5.0,-1021.0,1553.0,-1009.0,-1005.0,-889.0,481.0,985.0,True,False,True,sitk,sitk,keep_original,ok,
06d3a945b6,normal,RSNA-Normal,"(34, 512, 512)","(34, 512, 512)",0.48828125,0.48828125,5.0,-1022.0,2152.0,-1008.0,-1005.0,-929.0,327.0,973.0,True,False,True,sitk,sitk,keep_original,ok,
06dc2e3959,normal,RSNA-Normal,"(37, 512, 512)","(37, 512, 512)",0.48828125,0.48828125,5.0,-1024.0,2976.0,-1012.0,-1006.0,-969.0,441.0,947.570000000007,True,False,True,sitk,sitk,keep_original,ok,
06f312aff9,normal,RSNA-Normal,"(32, 512, 512)","(32, 512, 512)",0.423828125,0.423828125,5.0,-1024.0,1698.0,-1008.0,-1005.0,-917.0,545.0,1108.0,True,False,True,sitk,sitk,keep_original,ok,
07aa0f742e,normal,RSNA-Normal,"(37, 512, 512)","(37, 512, 512)",0.47265625,0.47265625,5.0,-1024.0,2976.0,-1013.0,-1006.0,-956.0,485.0,1063.0,True,False,True,sitk,sitk,keep_original,ok,
07b881558b,normal,RSNA-Normal,"(33, 512, 512)","(33, 512, 512)",0.48828125,0.48828125,5.0,-1024.0,1611.0,-1010.0,-1006.0,-991.0,436.0,1063.0,True,False,True,sitk,sitk,keep_original,ok,
07bbb033f8,normal,RSNA-Normal,"(36, 512, 512)","(36, 512, 512)",0.419921875,0.419921875,5.0,-1024.0,2976.0,-1011.0,-1005.0,-932.0,503.0,1106.0,True,False,True,sitk,sitk,keep_original,ok,
07c0bda3de,normal,RSNA-Normal,"(31, 512, 512)","(31, 512, 512)",0.365234375,0.365234375,5.0,-1024.0,1707.0,-1010.0,-1006.0,-558.0,734.0,1291.0,True,False,True,sitk,sitk,keep_original,ok,
07d625d6f5,normal,RSNA-Normal,"(31, 512, 512)","(31, 512, 512)",0.3984375,0.3984375,5.0,-1024.0,1573.0,-1011.0,-1007.0,-922.0,578.0,1155.0,True,False,True,sitk,sitk,keep_original,ok,
07d635bf47,normal,RSNA-Normal,"(32, 512, 512)","(32, 512, 512)",0.4882810115814209,0.4882810115814209,5.012472152709961,-3024.0,1987.0,-3024.0,-3024.0,-980.0,471.8499999999767,1093.570000000007,True,False,True,sitk,sitk,keep_original,ok,
07eda66f83,normal,RSNA-Normal,"(36, 512, 512)","(36, 512, 512)",0.4609375,0.4609375,5.0,-1023.0,1518.0,-1009.0,-1006.0,-959.0,502.0,1032.0,True,False,True,sitk,sitk,keep_original,ok,
07faa30806,normal,RSNA-Normal,"(31, 512, 512)","(31, 512, 512)",0.4882810115814209,0.4882810115814209,5.0,-2048.0,1955.0,-2048.0,-2048.0,-997.0,381.0,1103.0,True,False,True,sitk,sitk,keep_original,ok,
07fe869052,normal,RSNA-Normal,"(33, 512, 512)","(33, 512, 512)",0.46875,0.46875,5.0,-1024.0,1667.0,-1010.0,-1006.0,-970.0,417.0,1031.0,True,False,True,sitk,sitk,keep_original,ok,
08b94db85d,normal,RSNA-Normal,"(32, 512, 512)","(32, 512, 512)",0.453125,0.453125,5.0,-1024.0,1465.0,-1010.0,-1006.0,-818.0,472.0,888.0,True,False,True,sitk,sitk,keep_original,ok,
08c223f50d,normal,RSNA-Normal,"(35, 512, 512)","(35, 512, 512)",0.408203125,0.408203125,5.0,-1024.0,2182.0,-1008.0,-1005.0,-911.0,486.0,922.0,True,False,True,sitk,sitk,keep_original,ok,
08c6234c7f,normal,RSNA-Normal,"(35, 512, 512)","(35, 512, 512)",0.48828125,0.48828125,5.0,-1024.0,1473.0,-1013.0,-1010.0,-885.0,433.0,929.0,True,False,True,sitk,sitk,keep_original,ok,
08cd7d7544,normal,RSNA-Normal,"(32, 512, 512)","(32, 512, 512)",0.4609375,0.4609375,5.0,-1023.0,2976.0,-1009.0,-1005.0,-960.0,405.0,852.0,True,False,True,sitk,sitk,keep_original,ok,
08d19147e9,normal,RSNA-Normal,"(40, 512, 512)","(40, 512, 512)",0.4882810115814209,0.4882810115814209,4.043846130371094,-3024.0,1930.0,-3024.0,-3024.0,-989.0,631.0,1498.0,True,False,True,sitk,sitk,keep_original,ok,
08d24ac2b0,normal,RSNA-Normal,"(33, 512, 512)","(33, 512, 512)",0.48828125,0.48828125,5.0,-1024.0,1664.0,-1009.0,-1005.0,-978.0,375.8499999999767,1023.0,True,False,True,sitk,sitk,keep_original,ok,
08e112321d,normal,RSNA-Normal,"(37, 512, 512)","(37, 512, 512)",0.478515625,0.478515625,5.0,-1024.0,1725.0,-1011.0,-1006.0,-974.0,494.0,1019.0,True,False,True,sitk,sitk,keep_original,ok,
08e8abc9e3,normal,RSNA-Normal,"(41, 512, 512)","(41, 512, 512)",0.451171875,0.451171875,5.0,-1024.0,2976.0,-1010.0,-1006.0,-990.0,443.0,1100.0,True,False,True,sitk,sitk,keep_original,ok,
08e9893435,normal,RSNA-Normal,"(29, 512, 512)","(29, 512, 512)",0.48828125,0.48828125,5.0,-1024.0,1526.0,-1013.0,-1007.0,-950.0,333.0,950.0,True,False,True,sitk,sitk,keep_original,ok,
08ea5e1c43,normal,RSNA-Normal,"(32, 512, 512)","(32, 512, 512)",0.4882810115814209,0.4882810115814209,5.085014343261719,-3024.0,2078.0,-3024.0,-3024.0,-996.0,245.0,1026.570000000007,True,False,True,sitk,sitk,keep_original,ok,
08ef65330f,normal,RSNA-Normal,"(36, 512, 512)","(36, 512, 512)",0.443359375,0.443359375,5.0,-1024.0,1719.0,-1013.0,-1006.0,-951.0,532.0,1087.0,True,False,True,sitk,sitk,keep_original,ok,
08f3df45cf,normal,RSNA-Normal,"(32, 512, 512)","(32, 512, 512)",0.4882810115814209,0.4882810115814209,5.015064716339111,-3024.0,2008.0,-3024.0,-3024.0,-987.0,470.0,1237.0,True,False,True,sitk,sitk,keep_original,ok,
08f434a559,normal,RSNA-Normal,"(35, 512, 512)","(35, 512, 512)",0.435546875,0.435546875,5.0,-1023.0,2061.0,-1008.0,-1004.0,-937.0,495.0,1152.0,True,False,True,sitk,sitk,keep_original,ok,
09a0e04205,normal,RSNA-Normal,"(28, 512, 512)","(28, 512, 512)",0.4882810115814209,0.4882810115814209,5.1899518966674805,-3024.0,2153.0,-3024.0,-3024.0,-989.0,713.8499999999767,1600.570000000007,True,False,True,sitk,sitk,keep_original,ok,
09ac591933,normal,RSNA-Normal,"(29, 512, 512)","(29, 512, 512)",0.43359375,0.43359375,5.0,-1023.0,1628.0,-1010.0,-1006.0,-911.0,648.0,1251.0,True,False,True,sitk,sitk,keep_original,ok,
09bb065ab9,normal,RSNA-Normal,"(37, 512, 512)","(37, 512, 512)",0.48828125,0.48828125,5.0,-1024.0,1626.0,-1011.0,-1007.0,-963.0,378.0,1110.570000000007,True,False,True,sitk,sitk,keep_original,ok,
09c68c83bc,normal,RSNA-Normal,"(32, 512, 512)","(32, 512, 512)",0.4882810115814209,0.4882810115814209,5.102493762969971,-3024.0,2140.0,-3024.0,-3024.0,-990.0,409.0,1230.0,True,False,True,sitk,sitk,keep_original,ok,
09cab60e96,normal,RSNA-Normal,"(34, 512, 512)","(34, 512, 512)",0.470703125,0.470703125,5.0,-1024.0,1651.0,-1011.0,-1006.0,-969.0,626.0,1348.0,True,False,True,sitk,sitk,keep_original,ok,
09cef78912,normal,RSNA-Normal,"(36, 512, 512)","(36, 512, 512)",0.42578125,0.42578125,5.0,-1021.0,2609.0,-1008.0,-1005.0,-953.0,332.0,811.0,True,False,True,sitk,sitk,keep_original,ok,
09cf846a4e,normal,RSNA-Normal,"(36, 512, 512)","(36, 512, 512)",0.48828125,0.48828125,5.0,-1023.0,2679.0,-1009.0,-1006.0,-992.0,323.0,907.570000000007,True,False,True,sitk,sitk,keep_original,ok,
09d71d7d2f,normal,RSNA-Normal,"(38, 512, 512)","(38, 512, 512)",0.447265625,0.447265625,5.0,-1023.0,2233.0,-1013.0,-1007.0,-974.0,594.0,1171.0,True,False,True,sitk,sitk,keep_original,ok,
09e19d6313,normal,RSNA-Normal,"(37, 512, 512)","(37, 512, 512)",0.427734375,0.427734375,5.0,-1021.0,1626.0,-1011.0,-1006.0,-977.0,359.0,1075.0,True,False,True,sitk,sitk,keep_original,ok,
09e2c8b528,normal,RSNA-Normal,"(35, 512, 512)","(35, 512, 512)",0.423828125,0.423828125,5.0,-1024.0,1633.0,-1010.0,-1005.0,-947.0,762.0,1169.0,True,False,True,sitk,sitk,keep_original,ok,
09fdd85180,normal,RSNA-Normal,"(32, 512, 512)","(32, 512, 512)",0.4882810115814209,0.4882810115814209,5.0,-3024.0,3071.0,-3024.0,-3024.0,-999.0,545.0,1474.0,True,False,True,sitk,sitk,keep_original,ok,
