case_id,branch,source_dataset,ct_reader_backend,mask_reader_backend,hu_action,resample_action,status,error
03f0a04341,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
03f2a4f1b4,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
041e232fe1,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
04b065a338,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
04b1318e8e,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
04b60a680a,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
04b809de14,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
04bfbf4c7c,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
04c0d078c0,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
04cbfdd8b4,normal,RSNA-Normal,sitk,sitk,no_offset_fix,resampled_to_5mm,ok,
04e58cf3cc,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
04f18b8896,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
04f31d05f7,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
04fe73adc3,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
05ae9bc541,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
05c57f9aef,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
05ca3dab72,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
05cb6e5b02,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
05dc85aab6,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
05e7626014,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
05f439eefa,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
05f50c9238,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
05ff39b6e8,normal,RSNA-Normal,sitk,sitk,no_offset_fix,resampled_to_5mm,ok,
06cfe84f2c,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
06d3a945b6,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
06dc2e3959,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
06f312aff9,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
07aa0f742e,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
07b881558b,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
07bbb033f8,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
07c0bda3de,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
07d625d6f5,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
07d635bf47,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
07eda66f83,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
07faa30806,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
07fe869052,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
08b94db85d,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
08c223f50d,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
08c6234c7f,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
08cd7d7544,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
08d19147e9,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
08d24ac2b0,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
08e112321d,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
08e8abc9e3,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
08e9893435,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
08ea5e1c43,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
08ef65330f,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
08f3df45cf,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
08f434a559,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
09a0e04205,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
09ac591933,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
09bb065ab9,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
09c68c83bc,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
09cab60e96,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
09cef78912,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
09cf846a4e,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
09d71d7d2f,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
09e19d6313,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
09e2c8b528,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
09fdd85180,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0a2f2793e1,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0a2f87e000,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0a366606fc,normal,RSNA-Normal,sitk,sitk,no_offset_fix,resampled_to_5mm,ok,
0a477b6cb6,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0a53c06c36,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0a56790fca,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0a5fb67407,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0a60e00859,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0a69c437f0,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0a72528c9e,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0a917a8002,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0a966bd281,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0a97415c4b,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0aa094d75f,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0ab84103d9,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0ac0361a12,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0ac451d9c8,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0ad8628a85,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0ae0cf9930,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0ae13c7216,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0ae5fe0e7e,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0ae6854201,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0aebc15bde,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0aeffd17f8,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0b158cb563,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0b1e9b4ac2,normal,RSNA-Normal,sitk,sitk,no_offset_fix,resampled_to_5mm,ok,
0b2efaf74d,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0b330a65ae,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0b36b87829,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0b41da0a1f,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0b5c6aea22,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0b6ee3197d,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0b73424e03,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0b86d9d13a,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0b8db6258a,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0b8f8d3775,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0b8fcb7cc4,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0b90ddbb57,normal,RSNA-Normal,sitk,sitk,no_offset_fix,resampled_to_5mm,ok,
0b937b4d43,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0b96f23eb9,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0b995dd667,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0b9e3481e9,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0babb7adf3,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0bb06bf222,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0bb7d23c5f,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0bbaee35d8,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0bc4f8acba,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0bc6b00f40,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0bc89d684a,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0bca30649a,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0bcf3ade01,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0bd3f66915,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0bd77b6c3d,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0bdf15892b,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0be5c0d1b3,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0bf476cba4,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0c122b1300,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0c1423fef0,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0c17878937,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0c17d24cd9,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0c241d79df,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0c345683ff,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0c38f0487c,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0c3b42bda6,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0c3bd19908,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0c681c6b3c,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0c69b6f27e,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0c6a72f666,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0c717cca10,normal,RSNA-Normal,sitk,sitk,no_offset_fix,resampled_to_5mm,ok,
0c828b6688,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0c82ef1ce8,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0c8368835b,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0c83ad615d,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0c89cf0a0e,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0ca18c2f94,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0ca467205a,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0cad3c5797,normal,RSNA-Normal,sitk,sitk,no_offset_fix,resampled_to_5mm,ok,
0cb8f37a7b,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0cb96deaa4,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0cd45d0749,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0ce9ee99ae,normal,RSNA-Normal,sitk,sitk,no_offset_fix,resampled_to_5mm,ok,
0cecb8a98c,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0cefa7d2dc,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0cf0325c91,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0d05df9d22,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0d0a171a3b,normal,RSNA-Normal,sitk,sitk,no_offset_fix,resampled_to_5mm,ok,
0d0f322d85,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0d11f2e2a2,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0d2b1c2749,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0d2bc52926,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0d3922fc8b,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0d4a6e0c9e,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0d550f3ab5,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0d563b655a,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0d5c2ec06f,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0d6cca7a19,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0d6dc36d7b,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0d89a6ec85,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0d8c4ba33b,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0da1b039f5,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0da5ea3fd9,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0db08aaf65,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0dbedad48e,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0dd44db24b,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0dde630c9e,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0de70d849c,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0e095aa8cc,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0e1ed92e95,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0e220636bc,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0e2ed7a554,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0e47dffa0b,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0e51803b89,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0e67201fb0,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0e999c46b7,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0eb0283578,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0ed4e21c64,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0edf0d91ac,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0eef256606,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0f04574a8c,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0f06dc9170,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0f0debb682,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0f15f0fab3,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0f1f2ed03a,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0f2420772f,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0f2539010b,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0f3d949125,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0f45afdadd,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0f49c9cac2,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0f57bef93b,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0f604b5f00,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0f622a7262,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0f66d393af,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0f6c775248,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0f71bbe205,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0f7c5a23d6,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0f83aa5861,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0f85174beb,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0f901ef4d8,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0fa454d0f8,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0fb1f5d2f3,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0fc16e3af3,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0fc4d40956,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0fcaf1d9bd,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0fcd4a839f,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0fcfc7d6c9,normal,RSNA-Normal,sitk,sitk,no_offset_fix,resampled_to_5mm,ok,
0fd5ba82e3,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
0fd6b80f39,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
10aa14493a,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
10bb92b7c2,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
10be0944ab,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
10c42d6624,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
10c4e906b9,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
10cd632c20,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
10cfd40292,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
10cfd903b4,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
10d59e1976,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
10db84dd42,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
10fb51178a,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
10fb5a1439,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
11ae6f798a,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
11b044cdca,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
11bda0bed0,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
11d72eb3d0,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
11e6c1105d,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
11e9c0f92c,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
11f4ff1964,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
11f53d98d8,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
12a0c4f8fe,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
12a3fe7a72,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
12a7c0ce5e,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
12a9fd8aae,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
12b3f7dc2d,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
12b598380d,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
12b7e5be84,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
12d5e5f418,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
12e389e796,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
12eb65dca1,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
12f04486f5,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
12f1f5279b,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
13a7b360aa,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
13b34283b3,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
13ba62d5b2,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
13ba98101d,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
13be078750,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
13c2ed18d7,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
13c4b56a7c,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
13c6187ca7,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
13cb78e6b0,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
13e678d4da,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
13e911a8ee,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
13eea560c5,normal,RSNA-Normal,sitk,sitk,no_offset_fix,resampled_to_5mm,ok,
13efaa6939,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
14a62c82ad,normal,RSNA-Normal,sitk,sitk,no_offset_fix,kept_original,ok,
