branch,case_id,status,ct_backend,mask_backend,ct_shape,mask_shape,ct_dtype,mask_dtype,ct_out,mask_out,error
Segmented Scans,011,ok,sitk,sitk,"(28, 3, 512, 512)","(28, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/011.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/011.npy,
Segmented Scans,012,ok,sitk,sitk,"(30, 3, 512, 512)","(30, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/012.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/012.npy,
Segmented Scans,013,ok,sitk,sitk,"(29, 3, 512, 512)","(29, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/013.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/013.npy,
Segmented Scans,014,ok,sitk,sitk,"(29, 3, 512, 512)","(29, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/014.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/014.npy,
Segmented Scans,015,ok,sitk,sitk,"(28, 3, 512, 512)","(28, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/015.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/015.npy,
Segmented Scans,016,ok,sitk,sitk,"(27, 3, 512, 512)","(27, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/016.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/016.npy,
Segmented Scans,017,ok,sitk,sitk,"(32, 3, 512, 512)","(32, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/017.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/017.npy,
Segmented Scans,018,ok,sitk,sitk,"(29, 3, 512, 512)","(29, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/018.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/018.npy,
Segmented Scans,019,ok,sitk,sitk,"(35, 3, 512, 512)","(35, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/019.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/019.npy,
Segmented Scans,01c1a0169f,ok,sitk,sitk,"(32, 3, 512, 512)","(32, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/01c1a0169f.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/01c1a0169f.npy,
Segmented Scans,020,ok,sitk,sitk,"(29, 3, 512, 512)","(29, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/020.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/020.npy,
Segmented Scans,021,ok,sitk,sitk,"(28, 3, 512, 512)","(28, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/021.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/021.npy,
Segmented Scans,022,ok,sitk,sitk,"(30, 3, 512, 512)","(30, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/022.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/022.npy,
Segmented Scans,023,ok,sitk,sitk,"(24, 3, 512, 512)","(24, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/023.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/023.npy,
Segmented Scans,024,ok,sitk,sitk,"(31, 3, 512, 512)","(31, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/024.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/024.npy,
Segmented Scans,025,ok,sitk,sitk,"(28, 3, 512, 512)","(28, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/025.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/025.npy,
Segmented Scans,026,ok,sitk,sitk,"(28, 3, 512, 512)","(28, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/026.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/026.npy,
Segmented Scans,027,ok,sitk,sitk,"(32, 3, 512, 512)","(32, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/027.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/027.npy,
Segmented Scans,028,ok,sitk,sitk,"(30, 3, 512, 512)","(30, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/028.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/028.npy,
Segmented Scans,029,ok,sitk,sitk,"(28, 3, 512, 512)","(28, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/029.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/029.npy,
Segmented Scans,02a2bd8cc2,ok,sitk,sitk,"(39, 3, 512, 512)","(39, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/02a2bd8cc2.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/02a2bd8cc2.npy,
Segmented Scans,02bb3e7d9d,ok,sitk,sitk,"(32, 3, 512, 512)","(32, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/02bb3e7d9d.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/02bb3e7d9d.npy,
Segmented Scans,02cd74218f,ok,sitk,sitk,"(32, 3, 512, 512)","(32, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/02cd74218f.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/02cd74218f.npy,
Segmented Scans,02cf5aa3f6,ok,sitk,sitk,"(32, 3, 512, 512)","(32, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/02cf5aa3f6.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/02cf5aa3f6.npy,
Segmented Scans,02d57cd50b,ok,sitk,sitk,"(33, 3, 512, 512)","(33, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/02d57cd50b.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/02d57cd50b.npy,
Segmented Scans,02e8d2742f,ok,sitk,sitk,"(35, 3, 512, 512)","(35, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/02e8d2742f.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/02e8d2742f.npy,
Segmented Scans,02fe96388e,ok,sitk,sitk,"(32, 3, 512, 512)","(32, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/02fe96388e.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/02fe96388e.npy,
Segmented Scans,030,ok,sitk,sitk,"(31, 3, 512, 512)","(31, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/030.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/030.npy,
Segmented Scans,030a18397b,ok,sitk,sitk,"(34, 3, 512, 512)","(34, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/030a18397b.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/030a18397b.npy,
Segmented Scans,031,ok,sitk,sitk,"(29, 3, 512, 512)","(29, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/031.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/031.npy,
Segmented Scans,032,ok,sitk,sitk,"(29, 3, 512, 512)","(29, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/032.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/032.npy,
Segmented Scans,033,ok,sitk,sitk,"(29, 3, 512, 512)","(29, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/033.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/033.npy,
Segmented Scans,034,ok,sitk,sitk,"(36, 3, 512, 512)","(36, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/034.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/034.npy,
Segmented Scans,035,ok,sitk,sitk,"(29, 3, 512, 512)","(29, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/035.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/035.npy,
Segmented Scans,0354dc2907,ok,sitk,sitk,"(34, 3, 512, 512)","(34, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/0354dc2907.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/0354dc2907.npy,
Segmented Scans,036,ok,sitk,sitk,"(25, 3, 512, 512)","(25, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/036.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/036.npy,
Segmented Scans,037,ok,sitk,sitk,"(32, 3, 512, 512)","(32, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/037.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/037.npy,
Segmented Scans,038,ok,sitk,sitk,"(28, 3, 512, 512)","(28, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/038.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/038.npy,
Segmented Scans,0386e10db3,ok,sitk,sitk,"(30, 3, 512, 512)","(30, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/0386e10db3.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/0386e10db3.npy,
Segmented Scans,03899fa456,ok,sitk,sitk,"(32, 3, 512, 512)","(32, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/03899fa456.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/03899fa456.npy,
Segmented Scans,039,ok,sitk,sitk,"(32, 3, 512, 512)","(32, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/039.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/039.npy,
Segmented Scans,03e92a47d9,ok,sitk,sitk,"(36, 3, 512, 512)","(36, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/03e92a47d9.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/03e92a47d9.npy,
Segmented Scans,040,ok,sitk,sitk,"(29, 3, 512, 512)","(29, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/040.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/040.npy,
Segmented Scans,041,ok,sitk,sitk,"(30, 3, 512, 512)","(30, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/041.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/041.npy,
Segmented Scans,042,ok,sitk,sitk,"(30, 3, 512, 512)","(30, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/042.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/042.npy,
Segmented Scans,043,ok,sitk,sitk,"(33, 3, 512, 512)","(33, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/043.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/043.npy,
Segmented Scans,044,ok,sitk,sitk,"(29, 3, 512, 512)","(29, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/044.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/044.npy,
Segmented Scans,045,ok,sitk,sitk,"(30, 3, 512, 512)","(30, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/045.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/045.npy,
Segmented Scans,046,ok,sitk,sitk,"(31, 3, 512, 512)","(31, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/046.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/046.npy,
Segmented Scans,047,ok,sitk,sitk,"(28, 3, 512, 512)","(28, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/047.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/047.npy,
Segmented Scans,048,ok,sitk,sitk,"(24, 3, 512, 512)","(24, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/048.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/048.npy,
Segmented Scans,049,ok,sitk,sitk,"(33, 3, 512, 512)","(33, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/049.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/049.npy,
Segmented Scans,050,ok,sitk,sitk,"(28, 3, 512, 512)","(28, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/050.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/050.npy,
Segmented Scans,051,ok,sitk,sitk,"(26, 3, 512, 512)","(26, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/051.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/051.npy,
Segmented Scans,052,ok,sitk,sitk,"(28, 3, 512, 512)","(28, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/052.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/052.npy,
Segmented Scans,053,ok,sitk,sitk,"(35, 3, 512, 512)","(35, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/053.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/053.npy,
Segmented Scans,054,ok,sitk,sitk,"(28, 3, 512, 512)","(28, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/054.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/054.npy,
Segmented Scans,055,ok,sitk,sitk,"(33, 3, 512, 512)","(33, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/055.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/055.npy,
Segmented Scans,056,ok,sitk,sitk,"(28, 3, 512, 512)","(28, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/056.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/056.npy,
Segmented Scans,057,ok,sitk,sitk,"(34, 3, 512, 512)","(34, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/057.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/057.npy,
Segmented Scans,058,ok,sitk,sitk,"(28, 3, 512, 512)","(28, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/058.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/058.npy,
Segmented Scans,0580e47573,ok,sitk,sitk,"(29, 3, 512, 512)","(29, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/0580e47573.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/0580e47573.npy,
Segmented Scans,059,ok,sitk,sitk,"(28, 3, 512, 512)","(28, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/059.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/059.npy,
Segmented Scans,059fb16067,ok,sitk,sitk,"(37, 3, 512, 512)","(37, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/059fb16067.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/059fb16067.npy,
Segmented Scans,05acf5343f,ok,sitk,sitk,"(28, 3, 512, 512)","(28, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/05acf5343f.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/05acf5343f.npy,
Segmented Scans,05adc8cbd1,ok,sitk,sitk,"(38, 3, 512, 512)","(38, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/05adc8cbd1.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/05adc8cbd1.npy,
Segmented Scans,060,ok,sitk,sitk,"(27, 3, 512, 512)","(27, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/060.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/060.npy,
Segmented Scans,060c8fdee7,ok,sitk,sitk,"(34, 3, 512, 512)","(34, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/060c8fdee7.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/060c8fdee7.npy,
Segmented Scans,061,ok,sitk,sitk,"(27, 3, 512, 512)","(27, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/061.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/061.npy,
Segmented Scans,062,ok,sitk,sitk,"(28, 3, 512, 512)","(28, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/062.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/062.npy,
Segmented Scans,063,ok,sitk,sitk,"(32, 3, 512, 512)","(32, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/063.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/063.npy,
Segmented Scans,064,ok,sitk,sitk,"(29, 3, 512, 512)","(29, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/064.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/064.npy,
Segmented Scans,065,ok,sitk,sitk,"(28, 3, 512, 512)","(28, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/065.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/065.npy,
Segmented Scans,066,ok,sitk,sitk,"(34, 3, 512, 512)","(34, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/066.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/066.npy,
Segmented Scans,067,ok,sitk,sitk,"(31, 3, 512, 512)","(31, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/067.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/067.npy,
Segmented Scans,067b82e422,ok,sitk,sitk,"(32, 3, 512, 512)","(32, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/067b82e422.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/067b82e422.npy,
Segmented Scans,068,ok,sitk,sitk,"(31, 3, 512, 512)","(31, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/068.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/068.npy,
Segmented Scans,069,ok,sitk,sitk,"(29, 3, 512, 512)","(29, 512, 512)",uint8,uint8,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/ct_scans/069.npy,/Volumes/MacOS Move/CT-Seg1500-NPY-Precomputd/Segmented Scans/masks/069.npy,
