source_dataset,original_stem,final_case_id,ct_src,mask_src,ct_dst,mask_dst
BHSD,ID_0b10cbee_ID_f91d6a7cd2,ID_0b10cbee_ID_f91d6a7cd2,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_0b10cbee_ID_f91d6a7cd2.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_0b10cbee_ID_f91d6a7cd2.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_0b10cbee_ID_f91d6a7cd2.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_0b10cbee_ID_f91d6a7cd2.nii.gz
BHSD,ID_0c3eef60_ID_6994ad7df0,ID_0c3eef60_ID_6994ad7df0,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_0c3eef60_ID_6994ad7df0.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_0c3eef60_ID_6994ad7df0.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_0c3eef60_ID_6994ad7df0.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_0c3eef60_ID_6994ad7df0.nii.gz
BHSD,ID_0c6b97a9_ID_6011bb9ce8,ID_0c6b97a9_ID_6011bb9ce8,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_0c6b97a9_ID_6011bb9ce8.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_0c6b97a9_ID_6011bb9ce8.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_0c6b97a9_ID_6011bb9ce8.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_0c6b97a9_ID_6011bb9ce8.nii.gz
BHSD,ID_10beb45f_ID_7184e80f09,ID_10beb45f_ID_7184e80f09,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_10beb45f_ID_7184e80f09.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_10beb45f_ID_7184e80f09.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_10beb45f_ID_7184e80f09.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_10beb45f_ID_7184e80f09.nii.gz
BHSD,ID_10c64d22_ID_4c9aad31ca,ID_10c64d22_ID_4c9aad31ca,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_10c64d22_ID_4c9aad31ca.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_10c64d22_ID_4c9aad31ca.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_10c64d22_ID_4c9aad31ca.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_10c64d22_ID_4c9aad31ca.nii.gz
BHSD,ID_14058625_ID_527c581583,ID_14058625_ID_527c581583,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_14058625_ID_527c581583.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_14058625_ID_527c581583.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_14058625_ID_527c581583.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_14058625_ID_527c581583.nii.gz
BHSD,ID_1653b22b_ID_c35cd0de73,ID_1653b22b_ID_c35cd0de73,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_1653b22b_ID_c35cd0de73.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_1653b22b_ID_c35cd0de73.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_1653b22b_ID_c35cd0de73.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_1653b22b_ID_c35cd0de73.nii.gz
BHSD,ID_16ed917a_ID_145f184354,ID_16ed917a_ID_145f184354,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_16ed917a_ID_145f184354.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_16ed917a_ID_145f184354.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_16ed917a_ID_145f184354.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_16ed917a_ID_145f184354.nii.gz
BHSD,ID_181aab15_ID_062634d043,ID_181aab15_ID_062634d043,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_181aab15_ID_062634d043.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_181aab15_ID_062634d043.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_181aab15_ID_062634d043.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_181aab15_ID_062634d043.nii.gz
BHSD,ID_18747540_ID_1eb1de9633,ID_18747540_ID_1eb1de9633,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_18747540_ID_1eb1de9633.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_18747540_ID_1eb1de9633.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_18747540_ID_1eb1de9633.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_18747540_ID_1eb1de9633.nii.gz
BHSD,ID_1879071b_ID_4b8e1377e7,ID_1879071b_ID_4b8e1377e7,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_1879071b_ID_4b8e1377e7.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_1879071b_ID_4b8e1377e7.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_1879071b_ID_4b8e1377e7.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_1879071b_ID_4b8e1377e7.nii.gz
BHSD,ID_196704db_ID_4eb6296376,ID_196704db_ID_4eb6296376,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_196704db_ID_4eb6296376.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_196704db_ID_4eb6296376.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_196704db_ID_4eb6296376.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_196704db_ID_4eb6296376.nii.gz
BHSD,ID_199b0a56_ID_09e623e993,ID_199b0a56_ID_09e623e993,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_199b0a56_ID_09e623e993.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_199b0a56_ID_09e623e993.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_199b0a56_ID_09e623e993.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_199b0a56_ID_09e623e993.nii.gz
BHSD,ID_19d26713_ID_9f54cdc920,ID_19d26713_ID_9f54cdc920,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_19d26713_ID_9f54cdc920.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_19d26713_ID_9f54cdc920.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_19d26713_ID_9f54cdc920.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_19d26713_ID_9f54cdc920.nii.gz
BHSD,ID_1cbe2853_ID_37afefdc7c,ID_1cbe2853_ID_37afefdc7c,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_1cbe2853_ID_37afefdc7c.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_1cbe2853_ID_37afefdc7c.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_1cbe2853_ID_37afefdc7c.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_1cbe2853_ID_37afefdc7c.nii.gz
BHSD,ID_2334b45f_ID_9f31e831ac,ID_2334b45f_ID_9f31e831ac,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_2334b45f_ID_9f31e831ac.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_2334b45f_ID_9f31e831ac.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_2334b45f_ID_9f31e831ac.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_2334b45f_ID_9f31e831ac.nii.gz
BHSD,ID_253e809f_ID_095d8c391f,ID_253e809f_ID_095d8c391f,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_253e809f_ID_095d8c391f.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_253e809f_ID_095d8c391f.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_253e809f_ID_095d8c391f.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_253e809f_ID_095d8c391f.nii.gz
BHSD,ID_268b38fe_ID_d747ae3ffb,ID_268b38fe_ID_d747ae3ffb,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_268b38fe_ID_d747ae3ffb.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_268b38fe_ID_d747ae3ffb.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_268b38fe_ID_d747ae3ffb.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_268b38fe_ID_d747ae3ffb.nii.gz
BHSD,ID_2872834a_ID_542e9d00da,ID_2872834a_ID_542e9d00da,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_2872834a_ID_542e9d00da.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_2872834a_ID_542e9d00da.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_2872834a_ID_542e9d00da.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_2872834a_ID_542e9d00da.nii.gz
BHSD,ID_2931ca43_ID_2a2b28e0ab,ID_2931ca43_ID_2a2b28e0ab,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_2931ca43_ID_2a2b28e0ab.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_2931ca43_ID_2a2b28e0ab.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_2931ca43_ID_2a2b28e0ab.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_2931ca43_ID_2a2b28e0ab.nii.gz
BHSD,ID_2949cdc6_ID_dcb864c93f,ID_2949cdc6_ID_dcb864c93f,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_2949cdc6_ID_dcb864c93f.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_2949cdc6_ID_dcb864c93f.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_2949cdc6_ID_dcb864c93f.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_2949cdc6_ID_dcb864c93f.nii.gz
BHSD,ID_2a42d0a0_ID_5fdc3fb915,ID_2a42d0a0_ID_5fdc3fb915,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_2a42d0a0_ID_5fdc3fb915.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_2a42d0a0_ID_5fdc3fb915.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_2a42d0a0_ID_5fdc3fb915.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_2a42d0a0_ID_5fdc3fb915.nii.gz
BHSD,ID_2db7ee14_ID_2591d00dfc,ID_2db7ee14_ID_2591d00dfc,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_2db7ee14_ID_2591d00dfc.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_2db7ee14_ID_2591d00dfc.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_2db7ee14_ID_2591d00dfc.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_2db7ee14_ID_2591d00dfc.nii.gz
BHSD,ID_2db7ee14_ID_f27e38fdfd,ID_2db7ee14_ID_f27e38fdfd,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_2db7ee14_ID_f27e38fdfd.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_2db7ee14_ID_f27e38fdfd.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_2db7ee14_ID_f27e38fdfd.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_2db7ee14_ID_f27e38fdfd.nii.gz
BHSD,ID_2e21c3f3_ID_bc8f99a0cc,ID_2e21c3f3_ID_bc8f99a0cc,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_2e21c3f3_ID_bc8f99a0cc.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_2e21c3f3_ID_bc8f99a0cc.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_2e21c3f3_ID_bc8f99a0cc.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_2e21c3f3_ID_bc8f99a0cc.nii.gz
BHSD,ID_30d19531_ID_cf607a5cd7,ID_30d19531_ID_cf607a5cd7,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_30d19531_ID_cf607a5cd7.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_30d19531_ID_cf607a5cd7.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_30d19531_ID_cf607a5cd7.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_30d19531_ID_cf607a5cd7.nii.gz
BHSD,ID_3343ddf2_ID_fddff2e9c1,ID_3343ddf2_ID_fddff2e9c1,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_3343ddf2_ID_fddff2e9c1.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_3343ddf2_ID_fddff2e9c1.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_3343ddf2_ID_fddff2e9c1.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_3343ddf2_ID_fddff2e9c1.nii.gz
BHSD,ID_338738e7_ID_0808281b2a,ID_338738e7_ID_0808281b2a,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_338738e7_ID_0808281b2a.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_338738e7_ID_0808281b2a.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_338738e7_ID_0808281b2a.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_338738e7_ID_0808281b2a.nii.gz
BHSD,ID_346de481_ID_2e8fea0d9a,ID_346de481_ID_2e8fea0d9a,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_346de481_ID_2e8fea0d9a.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_346de481_ID_2e8fea0d9a.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_346de481_ID_2e8fea0d9a.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_346de481_ID_2e8fea0d9a.nii.gz
BHSD,ID_39702b69_ID_167ab8c629,ID_39702b69_ID_167ab8c629,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_39702b69_ID_167ab8c629.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_39702b69_ID_167ab8c629.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_39702b69_ID_167ab8c629.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_39702b69_ID_167ab8c629.nii.gz
BHSD,ID_39bdd84b_ID_a318f304e4,ID_39bdd84b_ID_a318f304e4,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/ct_scans/ID_39bdd84b_ID_a318f304e4.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/Sources Datasets/BHSD/masks/ID_39bdd84b_ID_a318f304e4.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/ct_scans/ID_39bdd84b_ID_a318f304e4.nii.gz,/Volumes/DATA exFAT/CT-Seg1500 Source Datasets/CT-Seg1500-Raw/masks/ID_39bdd84b_ID_a318f304e4.nii.gz
